epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1553.66,1.82273,2.021,1.86322,0.50739,0.58553,0.52481,0.21154,1.95855,1.80198,1.83756,0.00604,0.00604,0.00604
82,1575.35,1.81439,1.99675,1.87747,0.54615,0.55472,0.5719,0.25844,1.95637,1.63673,1.83575,0.0059905,0.0059905,0.0059905
83,1597.07,1.8116,1.99188,1.85098,0.62982,0.6219,0.63301,0.27322,1.92145,1.5986,1.82831,0.005941,0.005941,0.005941
84,1618.35,1.78817,1.97071,1.85647,0.6443,0.56293,0.61557,0.26799,1.93468,1.61494,1.80787,0.0058915,0.0058915,0.0058915
85,1639.78,1.78621,1.94013,1.83023,0.52152,0.61634,0.57804,0.25027,1.94749,1.61327,1.8244,0.005842,0.005842,0.005842
86,1661.42,1.79714,1.93854,1.84767,0.49793,0.63463,0.58448,0.25074,1.93129,1.57718,1.81467,0.0057925,0.0057925,0.0057925
87,1683.23,1.76537,1.93891,1.83236,0.56756,0.5965,0.58504,0.2507,1.92246,1.59427,1.8041,0.005743,0.005743,0.005743
88,1705.14,1.7733,1.9017,1.82631,0.57721,0.61818,0.61753,0.26745,1.94391,1.57419,1.82017,0.0056935,0.0056935,0.0056935
89,1726.69,1.78325,1.9276,1.84198,0.53579,0.5994,0.55424,0.24141,1.93643,1.57599,1.80557,0.005644,0.005644,0.005644
90,1748.3,1.76892,1.89443,1.8232,0.53038,0.67188,0.62657,0.26505,1.94781,1.61897,1.79815,0.0055945,0.0055945,0.0055945
91,1769.99,1.77516,1.93352,1.8225,0.59949,0.58809,0.6072,0.26168,1.9205,1.56603,1.7907,0.005545,0.005545,0.005545
92,1791.27,1.76928,1.87598,1.82812,0.65118,0.53664,0.63161,0.27117,1.96511,1.62982,1.8042,0.0054955,0.0054955,0.0054955
93,1812.78,1.78125,1.88099,1.82963,0.62236,0.65012,0.63707,0.27946,1.93844,1.54905,1.81048,0.005446,0.005446,0.005446
94,1834.33,1.76375,1.8709,1.81179,0.62079,0.56628,0.61079,0.26902,1.9394,1.55606,1.81461,0.0053965,0.0053965,0.0053965
95,1855.97,1.75248,1.86864,1.79897,0.64584,0.65213,0.66749,0.28067,1.95543,1.56471,1.81878,0.005347,0.005347,0.005347
96,1877.57,1.74869,1.87391,1.79797,0.58126,0.659,0.64312,0.2774,1.93971,1.60732,1.82205,0.0052975,0.0052975,0.0052975
97,1897.96,1.75442,1.87932,1.80338,0.63346,0.60907,0.66672,0.29184,1.95508,1.53872,1.80644,0.005248,0.005248,0.005248
98,1914.31,1.7395,1.8473,1.77926,0.61717,0.58796,0.64052,0.27751,1.91027,1.51483,1.7681,0.0051985,0.0051985,0.0051985
99,1933.05,1.73332,1.83434,1.79767,0.54136,0.63628,0.6253,0.27102,1.92959,1.5303,1.80261,0.005149,0.005149,0.005149
