epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,2673.82,1.51866,1.31691,1.67731,0.92006,0.86474,0.90949,0.4575,1.75763,0.98613,1.73767,0.002476,0.002476,0.002476
154,2690.79,1.52244,1.33226,1.64353,0.90293,0.87484,0.9173,0.45606,1.73894,0.99417,1.75985,0.0024265,0.0024265,0.0024265
155,2707.95,1.4802,1.25995,1.65532,0.91018,0.86466,0.91819,0.46113,1.74705,0.98219,1.74757,0.002377,0.002377,0.002377
156,2725.34,1.53361,1.30203,1.66533,0.89944,0.86624,0.92153,0.45264,1.78052,1.01894,1.76906,0.0023275,0.0023275,0.0023275
157,2742.51,1.49125,1.27707,1.65812,0.90643,0.87009,0.9214,0.44942,1.75881,0.99947,1.76082,0.002278,0.002278,0.002278
158,2759.62,1.50684,1.27063,1.63805,0.92181,0.86918,0.92519,0.45267,1.77068,0.98427,1.76354,0.0022285,0.0022285,0.0022285
159,2776.97,1.46844,1.26674,1.65003,0.89824,0.87701,0.91739,0.44726,1.76246,0.97575,1.76723,0.002179,0.002179,0.002179
160,2794.25,1.50049,1.29891,1.67045,0.89747,0.85893,0.90948,0.45191,1.78599,1.00157,1.77849,0.0021295,0.0021295,0.0021295
161,2811.42,1.49074,1.25414,1.65912,0.90443,0.87201,0.91519,0.45456,1.75821,0.96879,1.76385,0.00208,0.00208,0.00208
162,2828.74,1.47889,1.28515,1.66653,0.90033,0.8577,0.91351,0.45462,1.76019,0.96944,1.74986,0.0020305,0.0020305,0.0020305
163,2846.77,1.50598,1.25602,1.64872,0.89917,0.88024,0.92154,0.45402,1.75394,0.97543,1.75045,0.001981,0.001981,0.001981
164,2864.84,1.48522,1.27123,1.64246,0.91025,0.8532,0.92356,0.45637,1.75188,0.97667,1.73956,0.0019315,0.0019315,0.0019315
165,2882.28,1.48185,1.25187,1.6473,0.91937,0.87763,0.92772,0.45975,1.75606,0.97336,1.76192,0.001882,0.001882,0.001882
166,2900.66,1.48882,1.25113,1.64699,0.88796,0.8779,0.91904,0.46045,1.7611,0.97686,1.74826,0.0018325,0.0018325,0.0018325
167,2918.69,1.47387,1.2519,1.64772,0.91342,0.85521,0.91253,0.45813,1.7453,0.96329,1.74105,0.001783,0.001783,0.001783
168,2936.82,1.47489,1.25537,1.63622,0.91406,0.87193,0.91912,0.46225,1.75305,0.94362,1.74948,0.0017335,0.0017335,0.0017335
169,2954.94,1.47843,1.2418,1.64165,0.91155,0.86359,0.91622,0.46581,1.75785,0.94422,1.73938,0.001684,0.001684,0.001684
